#1:cfg  2:R  3:S(GR)
1000 -6.458960148955401e-35 142.42429916066882
1010 -6.242428696349308e-35 137.64963889454967
1020 -6.146252613215667e-35 135.52889330695808
1030 -6.31701234681117e-35 139.294257207854
1040 -6.033639175042523e-35 133.04569328125777
1050 -7.293682747505289e-35 160.83047884754413
1060 -6.704156313134387e-35 147.8310350801843
1070 -6.059526958234564e-35 133.61653584614743
1080 -6.266967117718112e-35 138.19072714797792
1090 -6.002492381945243e-35 132.35888610553926
1100 -5.846165110902714e-35 128.91176745107086
1110 -6.354539344242729e-35 140.12175206546794
1120 -6.176687751152997e-35 136.20000802056776
1130 -6.375565079752278e-35 140.58538329638202
1140 -6.090314720200987e-35 134.2954261504176
1150 -6.378603512608341e-35 140.6523827297415
1160 -6.284627453885779e-35 138.580149120496
1170 -7.094808687634767e-35 156.44517564933864
1180 -6.518914744449253e-35 143.74633723610953
1190 -5.994149062981947e-35 132.1749104610675
1200 -6.256087656929936e-35 137.95082791617162
1210 -6.665773172555214e-35 146.9846617057553
1220 -6.224760016104753e-35 137.2600329296744
1230 -6.06201666856043e-35 133.67143558853581
1240 -5.966705616251498e-35 131.56976449685692
1250 -5.415694658363456e-35 119.41961219722629
1260 -6.533656850219056e-35 144.07141031815297
1270 -6.285741006314277e-35 138.60470368044835
1280 -5.901153460465812e-35 130.1242965529562
1290 -6.381552908279849e-35 140.7174188349
1300 -6.492110381817668e-35 143.1552834946076
1310 -5.970076795478246e-35 131.6441012054976
1320 -6.748910120391793e-35 148.81788582494985
1330 -6.371979668706593e-35 140.5063226359029
1340 -6.045004818944388e-35 133.29631316896442
1350 -5.928354502679962e-35 130.72409733891038
1360 -6.449210120404681e-35 142.20930464899692
1370 -6.671326012444145e-35 147.1071054600584
1380 -6.552000674563312e-35 144.47590365235934
1390 -6.040069954945917e-35 133.1874961875577
1400 -6.083196889121432e-35 134.13847331595653
1410 -5.982287557134421e-35 131.91335649288004
1420 -5.697298852471596e-35 125.62916900847915
1430 -5.878164492797094e-35 129.61737476784907
1440 -5.362446449016444e-35 118.24545432615855
1450 -6.004746253298283e-35 132.40858544420246
1460 -6.697094062717156e-35 147.67530783570922
1470 -6.315646291565187e-35 139.26413479549396
1480 -6.923069718275516e-35 152.65821895886845
1490 -6.184837687614514e-35 136.37971945429183
1500 -6.77924552227443e-35 149.4868012932688
1510 -6.438014880750089e-35 141.9624422864851
1520 -6.169809677250999e-35 136.04834198881096
1530 -6.352115875327863e-35 140.0683129895521
1540 -7.117011342410804e-35 156.9347587204611
1550 -6.848658331653745e-35 151.01739917599778
1560 -6.755649680984909e-35 148.96649754757843
1570 -6.886016771680471e-35 151.84117723250165
1580 -6.824689590691122e-35 150.48887274842457
1590 -6.63563143566377e-35 146.32001667726047
1600 -6.77954991656549e-35 149.49351338663567
1610 -6.693065681806928e-35 147.58647939975978
1620 -7.205809874072858e-35 158.89282446894074
1630 -7.398384358478921e-35 163.13921790460802
1640 -6.693619602536314e-35 147.5986937144256
1650 -6.377177193640445e-35 140.62093146286614
1660 -6.627589501969328e-35 146.14268677524635
1670 -6.953206133492465e-35 153.3227466409572
1680 -6.702146929633693e-35 147.7867268587011
1690 -6.445482002076145e-35 142.1270971995183
1700 -6.938629708222673e-35 153.00132692238938
1710 -6.517655273013349e-35 143.71856506652887
1720 -6.637043946983196e-35 146.35116347644893
1730 -6.805406471590438e-35 150.06366734999975
1740 -6.371732292522648e-35 140.50086782912058
1750 -6.283595535255578e-35 138.55739463923155
1760 -6.112911032108883e-35 134.79368961897583
1770 -6.5110523387092e-35 143.57296604300424
1780 -6.498194150770954e-35 143.28943458231285
1790 -6.218487795923879e-35 137.12172636904532
1800 -6.260977739171486e-35 138.05865743052516
1810 -6.186154034445667e-35 136.40874576356697
1820 -6.675838633579278e-35 147.2066117099387
1830 -5.676949281529236e-35 125.18044764887227
1840 -6.605742459867061e-35 145.66094519635578
1850 -5.918418546801845e-35 130.50500300796594
1860 -5.820498753801375e-35 128.34580747642124
1870 -6.030354038896593e-35 132.97325387887082
1880 -6.501173972515276e-35 143.35514160229306
1890 -6.004438388260928e-35 132.4017968186079
1900 -6.463151850886943e-35 142.51672893204415
1910 -6.519449558019233e-35 143.75813022540336
1920 -5.975583642997897e-35 131.76553079795264
1930 -7.009360366573234e-35 154.5609842375658
1940 -6.059886830669617e-35 133.624471268904
1950 -6.329114525261197e-35 139.56111816446497
1960 -6.167214684059418e-35 135.99112069031798
1970 -5.370108817265727e-35 118.41441456165275
1980 -6.1154659917906e-35 134.85002815237138
1990 -5.633606506072623e-35 124.22471107894084
2000 -6.155962855586249e-35 135.74301050731486
2010 -5.952156770331295e-35 131.24895292100032
2020 -5.946076332423516e-35 131.11487528502892
2030 -6.00531265815268e-35 132.42107504199657
2040 -6.117862498414419e-35 134.90287269212078
2050 -5.476886294081067e-35 120.76892781933695
2060 -5.987929056892774e-35 132.03775525533848
2070 -6.200528613529947e-35 136.72571464162073
2080 -6.088388042430952e-35 134.25294164443252
2090 -6.735215199494719e-35 148.51590385481154
2100 -5.944108794001024e-35 131.0714897749108
2110 -6.141679460417434e-35 135.42805229428387
2120 -6.144340293319411e-35 135.48672540148814
2130 -5.672440764062898e-35 125.08103188757504
2140 -6.090288010988127e-35 134.29483719479086
2150 -6.210690949102527e-35 136.94980079301064
2160 -6.258248766639698e-35 137.99848179988106
